 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
11	aligned_HD_152060Bessell B1036_out.fits	11.000000	0.000000	58592.835626	2458592.835626	2458592.835279	2458592.830542	0.000000	1.181986	57.734038	NaN	60.000000	0.000000	0.000000	45.929763	5.000000	11.000000	17.000000	492.208380	510.283506	492.708380	514.216494	140442.000000	78.539816	374.765977	374.745865	8923.000000	1788.163081	0.000000	527.000000	4.248395	3.895884	4.097000	3.694769	6.621925	0.988810
12	aligned_HD_152060Bessell B1039_out.fits	12.000000	0.000000	58592.837395	2458592.837395	2458592.837048	2458592.832311	0.000000	1.173830	58.372503	NaN	60.000000	0.000000	0.000000	50.441222	5.000000	11.000000	17.000000	492.168839	510.130331	492.668839	514.369669	247342.000000	78.539816	497.342482	497.327312	13165.000000	3149.256155	0.000000	523.000000	4.511459	4.285449	4.698491	3.872407	1.164208	0.963462
13	aligned_HD_152060Bessell B1042_out.fits	13.000000	0.000000	58592.839155	2458592.839155	2458592.838808	2458592.834070	0.000000	1.165973	59.007371	NaN	60.000000	0.000000	0.000000	54.764668	5.000000	11.000000	17.000000	492.084200	510.902513	492.584200	513.597487	135301.000000	78.539816	367.843078	367.822607	8204.000000	1722.705836	0.000000	531.000000	4.323446	3.899837	4.257588	3.542086	356.605153	0.966429
14	aligned_HD_152060Bessell B1045_out.fits	14.000000	0.000000	58592.840925	2458592.840925	2458592.840578	2458592.835841	0.000000	1.158313	59.646323	NaN	60.000000	0.000000	0.000000	58.772909	5.000000	11.000000	17.000000	491.971634	510.343210	492.471634	514.156790	123369.000000	78.539816	351.249967	351.228503	9470.000000	1570.782894	0.000000	526.000000	4.008241	3.537273	3.751504	3.323043	347.975925	0.982535
15	aligned_HD_152060Bessell B1048_out.fits	15.000000	0.000000	58592.842687	2458592.842687	2458592.842340	2458592.837603	0.000000	1.150931	60.282128	NaN	60.000000	0.000000	0.000000	62.482285	5.000000	11.000000	17.000000	492.078966	511.066531	492.578966	513.433469	97939.000000	78.539816	312.964112	312.940034	8302.000000	1246.998078	0.000000	528.000000	3.709377	3.306283	3.513065	3.099500	355.400968	0.984068
16	aligned_HD_152060Bessell B1051_out.fits	16.000000	0.000000	58592.844447	2458592.844447	2458592.844099	2458592.839363	0.000000	1.143792	60.916959	NaN	60.000000	0.000000	0.000000	66.215542	5.000000	11.000000	17.000000	491.214645	510.256340	491.714645	514.243660	108394.000000	78.539816	329.243885	329.220997	9231.000000	1380.115272	0.000000	528.000000	3.733257	3.357852	3.621597	3.094108	351.655123	0.973433
17	aligned_HD_152060Bessell B1054_out.fits	17.000000	0.000000	58592.846217	2458592.846217	2458592.845870	2458592.841133	0.000000	1.136837	61.555757	NaN	60.000000	0.000000	0.000000	69.098842	5.000000	11.000000	17.000000	491.811803	510.152041	492.311803	514.347959	8066.000000	78.539816	89.852896	89.768949	1228.000000	102.699502	0.000000	524.000000	2.883299	2.339836	2.488865	2.190806	344.174827	0.977788
18	aligned_HD_152060Bessell B1057_out.fits	18.000000	0.000000	58592.847977	2458592.847977	2458592.847630	2458592.842893	0.000000	1.130144	62.190818	NaN	60.000000	0.000000	0.000000	71.542399	5.000000	11.000000	17.000000	491.564985	510.833269	492.064985	513.666731	4528.000000	78.539816	67.346343	67.234534	1238.000000	57.652287	0.000000	531.000000	2.443558	1.794974	1.894842	1.695106	352.074529	0.986702
19	aligned_HD_152060Bessell B1060_out.fits	19.000000	0.000000	58592.849746	2458592.849746	2458592.849399	2458592.844663	0.000000	1.123631	62.829341	NaN	60.000000	0.000000	0.000000	74.729252	5.000000	11.000000	17.000000	491.601826	510.756496	492.101826	513.743504	42111.000000	78.539816	205.228009	205.191291	4901.000000	536.173905	0.000000	528.000000	3.186853	2.772395	3.082668	2.462123	356.318910	0.950316
20	aligned_HD_152060Bessell B1063_out.fits	20.000000	0.000000	58592.851516	2458592.851516	2458592.851169	2458592.846432	0.000000	1.117330	63.467882	NaN	60.000000	0.000000	0.000000	77.084491	5.000000	11.000000	17.000000	492.007530	511.106041	492.507530	513.393959	2553.000000	78.539816	50.601752	50.452798	667.000000	32.505806	0.000000	527.000000	2.355239	1.646446	1.924785	1.368108	351.950179	0.882946
